FASTA文件名	序列记录ID	长度(aa)	专利/家族	申请人/权利人	蛋白/构建体	产品/用途	对应市场批号/监管状态（核查至2026-08-05）	安全性与功能性检验概述	最高证据标签	FASTA可查询/下载	PDB/CIF accession	专利来源URL	监管/外部证据URL	结论置信度/限定
JINBO_HC8_CN103122027B_257aa.fasta	JINBO_HC8_CN103122027B_257aa	257	CN103122027B	山西锦波生物医药股份有限公司	重组人源化III型胶原 HC8/HC16	对应平台已形成重组III型人源化胶原蛋白冻干纤维、注射凝胶等医疗器械；但本表所列专利序列与每个商业批次配方的逐一同一性未公开核验。	是（平台/相关材料）：国械注准20213130488；后续注射凝胶国械注准20253130751。不是“专利本身获批”。	专利：表达、纯化、结构/稳定性与细胞黏附；公开论文：成纤维细胞黏附/增殖/ECM；监管产品经历生物相容性、临床评价/审评。	E5	是；fasta_downloads/JINBO_HC8_CN103122027B_257aa.fasta	6A0A; 6A0C（相关30-aa功能区三聚体结构；非完整HC8/HC16原子模型）	https://patents.google.com/patent/CN103122027B/en	https://mpa.xinjiang.gov.cn/xjyjj/gjjdt/202107/bca8d52276ac45bbb5941cf132c3236d.shtml	高（批准号）；中（具体专利构建体与商业产品映射）
JINBO_HC16_CN103122027B_501aa.fasta	JINBO_HC16_CN103122027B_501aa	501	CN103122027B	山西锦波生物医药股份有限公司	重组人源化III型胶原 HC8/HC16	对应平台已形成重组III型人源化胶原蛋白冻干纤维、注射凝胶等医疗器械；但本表所列专利序列与每个商业批次配方的逐一同一性未公开核验。	是（平台/相关材料）：国械注准20213130488；后续注射凝胶国械注准20253130751。不是“专利本身获批”。	专利：表达、纯化、结构/稳定性与细胞黏附；公开论文：成纤维细胞黏附/增殖/ECM；监管产品经历生物相容性、临床评价/审评。	E5	是；fasta_downloads/JINBO_HC16_CN103122027B_501aa.fasta	6A0A; 6A0C（相关30-aa功能区三聚体结构；非完整HC8/HC16原子模型）	https://patents.google.com/patent/CN103122027B/en	https://mpa.xinjiang.gov.cn/xjyjj/gjjdt/202107/bca8d52276ac45bbb5941cf132c3236d.shtml	高（批准号）；中（具体专利构建体与商业产品映射）
JINBO_rhCollagenIII_16x_repeat_SEQID4_480aa.fasta	JINBO_rhCollagenIII_16x_repeat_SEQID4_480aa	480	US11396537B2 / US20200165319A1	山西锦波生物医药股份有限公司	30-aa COL3A1功能区×16的重组人源化III型胶原	相关平台产品包括重组III型人源化胶原蛋白冻干纤维、注射用凝胶及修复类器械。	是（相关平台/产品）：国械注准20213130488、国械注准20253130751；商业成品序列是否恰为所列变体需企业批记录确认。	SDS-PAGE/质谱、产量纯度、内毒素、半年水溶液稳定性、细胞黏附；晶体结构相关条目；医疗器械监管与人体临床/上市使用。	E5	是；fasta_downloads/JINBO_rhCollagenIII_16x_repeat_SEQID4_480aa.fasta	6A0A; 6A0C（相关功能区结构；不可视作480–490 aa全长结构）	https://patents.google.com/patent/US11396537B2/en	https://www.sxjbswyy.com/h-col-153.html ; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10860749	高（专利实验、PDB、批准号）；中（商业构建体对应）
JINBO_TEV_rhCollagenIII_16x_486aa.fasta	JINBO_TEV_rhCollagenIII_16x_486aa	486	US11396537B2 / US20200165319A1	山西锦波生物医药股份有限公司	30-aa COL3A1功能区×16的重组人源化III型胶原	相关平台产品包括重组III型人源化胶原蛋白冻干纤维、注射用凝胶及修复类器械。	是（相关平台/产品）：国械注准20213130488、国械注准20253130751；商业成品序列是否恰为所列变体需企业批记录确认。	SDS-PAGE/质谱、产量纯度、内毒素、半年水溶液稳定性、细胞黏附；晶体结构相关条目；医疗器械监管与人体临床/上市使用。	E5	是；fasta_downloads/JINBO_TEV_rhCollagenIII_16x_486aa.fasta	6A0A; 6A0C（相关功能区结构；不可视作480–490 aa全长结构）	https://patents.google.com/patent/US11396537B2/en	https://www.sxjbswyy.com/h-col-153.html ; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10860749	高（专利实验、PDB、批准号）；中（商业构建体对应）
JINBO_rhCollagenIII_16x_plus_tail_490aa.fasta	JINBO_rhCollagenIII_16x_plus_tail_490aa	490	US11396537B2 / US20200165319A1	山西锦波生物医药股份有限公司	30-aa COL3A1功能区×16的重组人源化III型胶原	相关平台产品包括重组III型人源化胶原蛋白冻干纤维、注射用凝胶及修复类器械。	是（相关平台/产品）：国械注准20213130488、国械注准20253130751；商业成品序列是否恰为所列变体需企业批记录确认。	SDS-PAGE/质谱、产量纯度、内毒素、半年水溶液稳定性、细胞黏附；晶体结构相关条目；医疗器械监管与人体临床/上市使用。	E5	是；fasta_downloads/JINBO_rhCollagenIII_16x_plus_tail_490aa.fasta	6A0A; 6A0C（相关功能区结构；不可视作480–490 aa全长结构）	https://patents.google.com/patent/US11396537B2/en	https://www.sxjbswyy.com/h-col-153.html ; https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10860749	高（专利实验、PDB、批准号）；中（商业构建体对应）
COLLAGEN_WUHAN_TRHCIII_1_SEQID1_225aa.fasta	COLLAGEN_WUHAN_TRHCIII_1_SEQID1_225aa	225	CN115521372A/B	胶原蛋白（武汉）生物科技有限公司	TRHCIII-1 225 aa 三螺旋样重组人胶原III	自组装胶原纤维/水凝胶及创面、组织工程材料候选；未核实到以该SEQ ID 1明确注册的成品批号。	未核实到对应市场批号。	CD约225 nm、热变性/转变、SEM纤维形貌、PBS触发自组装等体外理化实验。	E1	是；fasta_downloads/COLLAGEN_WUHAN_TRHCIII_1_SEQID1_225aa.fasta	未检出该225 aa构建体的公开PDB/CIF	https://patents.google.com/patent/CN115521372B/en		高（专利内实验）；中（监管缺口）
TRAUTEC_COL17_170801_SEQID2_233aa.fasta	TRAUTEC_COL17_170801_SEQID2_233aa	233	US11787852B2 / CN113185604A/B / WO2022237224	江苏创健医疗科技股份有限公司	重组人XVII型胶原片段170801/170802	重组胶原蛋白冻干纤维（科敷颜；型号含CJ-XVII），用于非慢性创面及医美术后创面护理。	是：II类医疗器械，苏械注准20232141168；需注意注册产品配方与每个专利序列版本的对应关系未在公开页面逐条披露。	专利含表达/纯化和细胞相关功能评价；注册产品已进入人体使用，公开企业页给出适用范围、无菌与一次性使用信息。	E5	是；fasta_downloads/TRAUTEC_COL17_170801_SEQID2_233aa.fasta	未检出170801/170802精确构建体的公开PDB/CIF	https://patents.google.com/patent/US11787852B2/en	https://www.trautec.com.cn/show-187.html	高（产品注册信息）；中（序列映射）
TRAUTEC_COL17_170802_SEQID3_466aa.fasta	TRAUTEC_COL17_170802_SEQID3_466aa	466	US11787852B2 / CN113185604A/B / WO2022237224	江苏创健医疗科技股份有限公司	重组人XVII型胶原片段170801/170802	重组胶原蛋白冻干纤维（科敷颜；型号含CJ-XVII），用于非慢性创面及医美术后创面护理。	是：II类医疗器械，苏械注准20232141168；需注意注册产品配方与每个专利序列版本的对应关系未在公开页面逐条披露。	专利含表达/纯化和细胞相关功能评价；注册产品已进入人体使用，公开企业页给出适用范围、无菌与一次性使用信息。	E5	是；fasta_downloads/TRAUTEC_COL17_170802_SEQID3_466aa.fasta	未检出170801/170802精确构建体的公开PDB/CIF	https://patents.google.com/patent/US11787852B2/en	https://www.trautec.com.cn/show-187.html	高（产品注册信息）；中（序列映射）
TRAUTEC_COL17_STREP_170801_HIS6_SEQID4_249aa.fasta	TRAUTEC_COL17_STREP_170801_HIS6_SEQID4_249aa	249	US11787852B2 / CN113185604A/B / WO2022237224	江苏创健医疗科技股份有限公司	重组人XVII型胶原片段170801/170802	重组胶原蛋白冻干纤维（科敷颜；型号含CJ-XVII），用于非慢性创面及医美术后创面护理。	是：II类医疗器械，苏械注准20232141168；需注意注册产品配方与每个专利序列版本的对应关系未在公开页面逐条披露。	专利含表达/纯化和细胞相关功能评价；注册产品已进入人体使用，公开企业页给出适用范围、无菌与一次性使用信息。	E5	是；fasta_downloads/TRAUTEC_COL17_STREP_170801_HIS6_SEQID4_249aa.fasta	未检出170801/170802精确构建体的公开PDB/CIF	https://patents.google.com/patent/US11787852B2/en	https://www.trautec.com.cn/show-187.html	高（产品注册信息）；中（序列映射）
YUSONG_SF4_SEQID1_62aa.fasta	YUSONG_SF4_SEQID1_62aa	62	CN121108286A	上海羽松生物科技有限公司	短重组丝素蛋白SF-4/SF-10	化妆品原料/皮肤护理配方候选。	申请公开、未授权状态；未核实到与两条序列明确对应的监管批号。化妆品备案不等于药品/器械批准。	专利报告细胞/皮肤功效相关实验；没有材料承载或完整丝素纤维结构证据。	E2	是；fasta_downloads/YUSONG_SF4_SEQID1_62aa.fasta	未检出SF-4/SF-10精确构建体PDB/CIF	https://patents.google.com/patent/CN121108286A/en		中
